city,year,car_numbers,car_speed,school_numbers,stations,parks,total_accidents,child_accidents,schoolzone_accidents,child_population,total_population,city_tax,density,wedding
강남구,2017,238311,24.8,33,21,155,3469,40,8,56808,556164,1008244,14203,2677
강동구,2017,136558,24.3,27,11,124,1371,30,6,44348,436223,61985,17909,2427
강북구,2017,77820,20.9,14,3,83,1202,22,0.001,26970,324479,20470,13898,1436
강서구,2017,202063,24.3,36,9,167,1584,27,3,62698,601691,97215,14679,4069
관악구,2017,122103,24.8,22,4,110,1251,20,2,38126,503297,42789,17617,3205
광진구,2017,98631,25.5,22,11,55,1064,23,4,31953,357703,62549,21819,2082
구로구,2017,143960,23.3,24,7,98,1433,26,6,43214,410742,96845,21946,2460
금천구,2017,86427,24.0,18,1,55,824,18,0.001,19882,235154,96218,19469,1439
노원구,2017,154708,24.3,42,13,181,1499,35,2,56392,554403,42260,15748,2420
도봉구,2017,97323,21.9,23,3,79,944,18,1,31214,344166,24033,16752,1543
동대문구,2017,97507,24.0,21,6,96,1718,23,2,30761,350647,49233,25748,1657
동작구,2017,104837,26.6,21,12,83,1409,17,4,37524,396217,62412,24978,2282
마포구,2017,116531,25.0,22,16,142,1859,22,1,37665,374915,166695,16174,2294
서대문구,2017,86068,23.7,19,5,119,1032,15,2,28386,312800,67027,18440,1546
서초구,2017,181546,26.7,24,12,151,2361,34,1,52647,441102,559268,9480,2288
성동구,2017,103116,25.5,21,14,84,1076,8,1,29610,304808,86138,18551,2096
성북구,2017,117209,24.7,29,9,127,1557,31,4,44610,444055,64408,18533,1917
송파구,2017,231819,24.4,39,22,164,2758,47,2,72611,664496,221309,19813,3896
양천구,2017,150823,25.9,30,5,120,1343,38,2,51159,471154,78805,27289,2021
영등포구,2017,146150,24.0,23,11,126,2386,18,2,34483,368550,420741,16377,2539
용산구,2017,77458,27.0,15,10,102,1337,14,0.001,19982,229161,159670,11179,1357
은평구,2017,129004,21.7,30,13,133,1067,33,5,46809,486794,34299,16534,2331
종로구,2017,50828,23.0,13,15,110,1190,13,3,12139,154770,381713,6869,700
중구,2017,51540,19.9,12,23,70,1252,9,1,9958,125709,710513,13514,792
중랑구,2017,113916,23.0,23,7,102,1639,31,0.001,35972,408226,25405,22318,2302
강남구,2018,235314,24.5,33,21,155,3459,31,5,55380,542364,1252446,13859,2519
강동구,2018,135420,23.9,27,13,124,1418,25,1,42500,427573,71698,17564,2371
강북구,2018,77365,21.3,14,3,84,1216,14,0.001,25337,319164,19313,13683,1344
강서구,2018,204466,23.6,36,9,167,1502,28,6,60321,596949,130557,14567,3835
관악구,2018,121430,25.3,22,4,110,1300,24,3,35542,501957,47501,17587,3090
광진구,2018,100552,25.1,22,11,59,1108,20,2,30921,355559,71207,21746,2164
구로구,2018,144440,23.6,24,7,101,1532,23,8,40613,404497,100833,21793,2286
금천구,2018,87063,23.5,18,1,55,932,7,0.001,18972,233917,104679,19510,1269
노원구,2018,153620,24.0,42,13,181,1569,29,2,53194,543752,40412,15468,2240
도봉구,2018,97308,21.9,23,3,79,824,18,3,29744,339413,23782,16531,1471
동대문구,2018,98324,23.9,21,6,95,1699,18,0.001,29997,348052,51321,25630,1747
동작구,2018,105476,26.0,21,12,82,1412,27,4,36126,396203,63722,25032,2097
마포구,2018,117991,24.5,22,16,142,1671,20,2,36531,375077,173617,16199,2229
서대문구,2018,86753,23.6,19,5,118,1033,12,0.001,27751,310313,68504,18331,1393
서초구,2018,182123,26.2,24,12,165,2478,25,4,51203,433951,634832,9326,2234
성동구,2018,106094,25.0,21,14,85,1143,15,2,29288,308221,100844,18771,2000
성북구,2018,116543,24.6,29,9,127,1427,28,3,42208,435868,104560,18218,1919
송파구,2018,236179,24.0,39,28,168,2860,41,1,71169,666635,261915,19883,3705
양천구,2018,150521,25.4,30,5,120,1428,35,3,49475,464185,86997,26894,1957
영등포구,2018,143940,23.8,23,11,125,2493,37,5,33393,367778,561347,16441,2664
용산구,2018,77515,26.6,15,10,103,1330,12,0.001,19236,228999,204126,11209,1400
은평구,2018,129647,21.6,30,13,133,1134,23,5,44781,483197,38682,16415,2364
종로구,2018,50732,22.5,13,15,108,1134,8,5,11817,153065,440888,6817,676
중구,2018,51813,19.5,12,23,70,1128,5,0.001,9628,125725,814227,13618,778
중랑구,2018,114022,22.8,23,7,102,1565,33,6,34228,403209,27162,22067,2253
강남구,2019,235415,24.4,33,21,155,3722,44,6,55528,545169,1218332,13929,2338
강동구,2019,139549,23.4,27,13,124,1414,33,4,43078,436067,83655,17909,2129
강북구,2019,76364,21.5,14,3,82,1277,22,3,23640,313954,19480,13462,1260
강서구,2019,204675,23.2,36,9,170,1829,43,14,57283,591796,137829,14438,3589
관악구,2019,120050,25.1,22,4,110,1363,14,3,33102,500094,48988,17496,2802
광진구,2019,99299,24.9,22,11,60,973,29,6,29043,351350,72827,21507,1893
구로구,2019,144465,22.8,26,7,104,1529,44,10,39630,406664,103574,21837,2063
금천구,2019,87581,22.5,18,1,55,920,18,0.001,17852,232810,110468,19341,1243
노원구,2019,152071,23.3,42,13,181,1703,27,5,50300,532905,43160,15162,2138
도봉구,2019,96435,21.6,23,3,79,852,18,4,27949,333362,23936,16245,1316
동대문구,2019,97910,24.0,21,6,95,1565,20,3,29035,346194,56426,25537,1613
동작구,2019,105472,26.3,21,12,78,1406,24,3,34712,395963,70713,25003,2057
마포구,2019,117907,24.2,22,16,142,1494,14,2,35143,374035,189581,16180,2029
서대문구,2019,87104,23.1,19,5,118,1113,15,0.001,26860,309397,81323,18335,1440
서초구,2019,181182,26.1,24,12,177,2418,20,2,49699,430826,718504,9261,2084
성동구,2019,106263,24.9,21,14,86,1091,15,0.001,27887,300889,107847,18327,1758
성북구,2019,119321,23.9,29,9,133,1509,24,7,41671,442650,83997,18505,1880
송파구,2019,240559,24.2,40,28,169,2892,54,4,71106,675961,345666,20156,3651
양천구,2019,149673,25.4,30,5,121,1506,41,5,47791,458165,88512,26559,1705
영등포구,2019,142010,23.8,23,11,108,2439,31,2,32366,367678,594265,16334,2449
용산구,2019,76521,26.5,15,10,110,1187,11,2,18563,228670,232745,11213,1303
은평구,2019,129820,21.4,31,13,130,1119,29,6,42691,480032,40733,16308,2178
종로구,2019,50052,22.7,13,15,106,1133,7,0.001,11317,151290,473178,6769,590
중구,2019,51736,19.6,12,23,73,1184,6,0.001,9383,126171,831365,13704,722
중랑구,2019,112723,23.5,23,8,101,1620,29,2,32314,397015,29167,21736,2031
강남구,2020,236216,25.0,33,21,162,3752,19,1,53638,539231,1317569,13773,2046
강동구,2020,149866,23.0,28,13,125,1268,17,5,46335,459970,99745,18869,2433
강북구,2020,75679,21.7,14,3,84,1087,9,1,21616,308055,23535,13202,1041
강서구,2020,205054,23.6,35,9,175,1575,14,3,52112,580185,143479,14140,3233
